airline,source,destination,route,duration,total_stops,price,year,month,day,day_name,holiday,season,dep_hour,dep_minute,dep_time,arrival_hour,arrival_minute,arrival_time
Air India,Kolkata,Banglore,CCU → IXR → BBI → BLR,445,2,7662,2019,1,5,Saturday,1,Winter,5,50,Early Morning,13,15,Afternoon
IndiGo,Kolkata,Banglore,CCU → NAG → BLR,325,1,6218,2019,12,5,Thursday,0,Winter,18,5,Evening,23,30,Night
IndiGo,Banglore,Delhi,BLR → NAG → DEL,285,1,13302,2019,1,3,Thursday,0,Winter,16,50,Evening,21,35,Night
SpiceJet,Kolkata,Banglore,CCU → BLR,145,0,3873,2019,6,24,Monday,0,Rainy,9,0,Morning,11,25,Morning
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,470,1,8625,2019,5,27,Monday,0,Summer,11,25,Morning,19,15,Evening
Air India,Delhi,Cochin,DEL → BLR → COK,795,1,8907,2019,1,6,Sunday,1,Winter,9,45,Morning,23,0,Night
IndiGo,Kolkata,Banglore,CCU → BLR,155,0,4174,2019,4,18,Thursday,0,Summer,20,20,Night,22,55,Night
Air India,Chennai,Kolkata,MAA → CCU,135,0,4667,2019,6,24,Monday,0,Rainy,11,40,Morning,13,55,Afternoon
IndiGo,Kolkata,Banglore,CCU → BLR,155,0,4804,2019,4,24,Wednesday,0,Summer,17,15,Evening,19,50,Evening
Air India,Delhi,Cochin,DEL → AMD → BOM → COK,1595,2,14011,2019,3,3,Sunday,1,Summer,16,40,Evening,19,15,Evening
SpiceJet,Delhi,Cochin,DEL → PNQ → COK,270,1,5830,2019,4,15,Monday,0,Summer,8,45,Morning,13,15,Afternoon
Jet Airways,Delhi,Cochin,DEL → BOM → COK,1235,1,12898,2019,5,27,Monday,0,Summer,16,0,Evening,12,35,Afternoon
GoAir,Delhi,Cochin,DEL → BOM → COK,310,1,19495,2019,6,3,Monday,0,Rainy,14,10,Afternoon,19,20,Evening
IndiGo,Banglore,Delhi,BLR → DEL,170,0,3943,2019,3,4,Monday,0,Summer,4,0,Early Morning,6,50,Early Morning
IndiGo,Banglore,Delhi,BLR → DEL,175,0,4823,2019,1,5,Saturday,1,Winter,18,55,Evening,21,50,Night
GoAir,Delhi,Cochin,DEL → BOM → COK,355,1,7682,2019,5,15,Wednesday,0,Summer,7,0,Early Morning,12,55,Afternoon
Vistara,Banglore,Delhi,BLR → DEL,170,0,4668,2019,6,18,Tuesday,0,Rainy,9,45,Morning,12,35,Afternoon
Vistara,Chennai,Kolkata,MAA → CCU,135,0,3687,2019,6,15,Saturday,1,Rainy,7,5,Early Morning,9,20,Morning
Vistara,Chennai,Kolkata,MAA → CCU,135,0,3687,2019,6,18,Tuesday,0,Rainy,7,5,Early Morning,9,20,Morning
Air India,Kolkata,Banglore,CCU → GAU → DEL → BLR,805,2,13227,2019,1,5,Saturday,1,Winter,9,50,Morning,23,15,Night
IndiGo,Banglore,Delhi,BLR → DEL,170,0,4423,2019,6,4,Tuesday,0,Rainy,4,0,Early Morning,6,50,Early Morning
Jet Airways,Delhi,Cochin,DEL → NAG → BOM → COK,1320,2,10919,2019,6,15,Saturday,1,Rainy,14,35,Afternoon,12,35,Afternoon
Jet Airways,Delhi,Cochin,DEL → BOM → COK,330,1,12373,2019,5,18,Saturday,1,Summer,7,5,Early Morning,12,35,Afternoon
IndiGo,Delhi,Cochin,DEL → BOM → COK,625,1,5894,2019,6,27,Thursday,0,Rainy,10,35,Morning,21,0,Night
SpiceJet,Kolkata,Banglore,CCU → MAA → BLR,315,1,4649,2019,5,21,Tuesday,0,Summer,15,5,Afternoon,20,20,Night
Air India,Kolkata,Banglore,CCU → BLR,150,0,6245,2019,5,18,Saturday,1,Summer,14,15,Afternoon,16,45,Evening
Jet Airways,Banglore,Delhi,BLR → BOM → DEL,375,1,19225,2019,6,3,Monday,0,Rainy,7,0,Early Morning,13,15,Afternoon
Jet Airways,Delhi,Cochin,DEL → BOM → COK,715,1,14924,2019,3,6,Wednesday,0,Summer,7,5,Early Morning,19,0,Evening
